Entropy before packing,Entropy after packing ,Difference in Entropy,Our Results
1.391090201,1.106324773,-0.284765428,Packed
1.468284701,1.149228284,-0.319056417,Packed
1.416341451,1.093502467,-0.322838984,Packed
1.441734767,1.169246063,-0.272488704,Packed
1.408292715,1.116171371,-0.292121344,Packed
1.369496615,1.078715464,-0.290781151,Packed
1.435782886,1.144141532,-0.291641353,Packed
1.453956298,1.110373702,-0.343582596,Packed
1.375942101,1.137799666,-0.238142436,Packed
1.36968077,1.089478014,-0.280202757,Packed
1.301232277,1.065844989,-0.235387288,Packed
1.333012755,1.074884071,-0.258128684,Packed
1.228139689,1.10370695,-0.12443274,Packed
1.473922149,1.167520014,-0.306402135,Packed
1.353330558,1.071979014,-0.281351544,Packed
1.382979154,1.098071717,-0.284907437,Packed
1.394686083,1.120145303,-0.27454078,Packed
1.489062564,1.086851457,-0.402211106,Packed
1.444564391,1.149889841,-0.29467455,Packed
1.378785726,1.086535165,-0.29225056,Packed
1.404921277,1.107723413,-0.297197864,Packed
1.398637789,1.117632655,-0.281005133,Packed
1.365067684,1.071329441,-0.293738243,Packed
1.431901171,1.130625342,-0.301275828,Packed
1.412867709,1.093697473,-0.319170236,Packed
1.365865007,1.092183502,-0.273681505,Packed
1.269972033,1.066097588,-0.203874444,Packed
1.434303972,1.183724867,-0.250579105,Packed
1.453235581,1.143485555,-0.309750025,Packed
1.209673307,1.076607601,-0.133065706,Packed
1.333390968,1.06683403,-0.266556938,Packed
1.337585174,1.06860487,-0.268980304,Packed
1.375534594,1.073556094,-0.3019785,Packed
1.410911404,1.152755757,-0.258155648,Packed
1.424641031,1.168276974,-0.256364057,Packed
1.470423076,1.149097102,-0.321325974,Packed
1.442272095,1.130728914,-0.31154318,Packed
1.438153994,1.108513231,-0.329640763,Packed
1.393512835,1.131919175,-0.261593659,Packed
1.397832358,1.093404117,-0.304428241,Packed
1.551484877,1.222194787,-0.32929009,Packed
1.212555405,1.084867247,-0.127688159,Packed
1.392640745,1.104566215,-0.28807453,Packed
1.372665167,1.194275369,-0.178389798,Packed
1.361139118,1.076215435,-0.284923682,Packed
1.38252332,1.113916077,-0.268607243,Packed
1.380608209,1.089522585,-0.291085624,Packed
1.378258399,1.094236831,-0.284021568,Packed
1.272123768,1.068942596,-0.203181172,Packed
1.47378653,1.186880771,-0.286905758,Packed
1.439091394,1.131801306,-0.307290087,Packed
1.22149957,1.083860395,-0.137639175,Packed
1.337316337,1.066384052,-0.270932285,Packed
1.446154416,1.111542813,-0.334611602,Packed
1.366620924,1.212608161,-0.154012763,Packed
1.451540268,1.101756988,-0.34978328,Packed
1.416692798,1.113484511,-0.303208287,Packed
1.413541378,1.108505259,-0.305036119,Packed
1.39306791,1.105176343,-0.287891567,Packed
1.246762289,1.109956963,-0.136805327,Packed
1.430087962,1.121725162,-0.3083628,Packed
1.338456768,1.078458238,-0.25999853,Packed
1.463496477,1.12759329,-0.335903187,Packed
1.452271962,1.135697939,-0.316574023,Packed
1.253186135,1.054129587,-0.199056548,Packed
1.433318066,1.139099179,-0.294218887,Packed
1.39537874,1.118120478,-0.277258262,Packed
1.336383954,1.068635836,-0.267748119,Packed
1.518238194,1.152464973,-0.365773221,Packed
1.424936262,1.188511929,-0.236424332,Packed
1.409554853,1.09192934,-0.317625513,Packed
1.378318495,1.087705699,-0.290612796,Packed
1.327702357,1.059812735,-0.267889622,Packed
1.390038727,1.098661119,-0.291377609,Packed
1.431932036,1.122057188,-0.309874847,Packed
1.367736654,1.070937818,-0.296798836,Packed
1.321002068,1.054555433,-0.266446635,Packed
1.399191548,1.095394448,-0.303797099,Packed
1.429983451,1.133335003,-0.296648448,Packed
1.432420786,1.107749142,-0.324671643,Packed
1.361342246,1.079051527,-0.282290719,Packed
1.153522148,1.054889107,-0.098633041,Packed
1.428469506,1.122954459,-0.305515048,Packed
1.40214725,1.111238936,-0.290908315,Packed
1.262053633,1.081362988,-0.180690646,Packed
1.325331492,1.068326326,-0.257005166,Packed
1.389644834,1.093332289,-0.296312546,Packed
1.327037465,1.070410913,-0.256626553,Packed
1.432704142,1.124034882,-0.308669259,Packed
1.420708726,1.143583354,-0.277125372,Packed
1.364983579,1.063973997,-0.301009582,Packed
1.415188099,1.097852576,-0.317335522,Packed
1.065319011,1.099126124,0.033807113,Packed
1.435577968,1.131213439,-0.304364529,Packed
1.387938082,1.108972114,-0.278965968,Packed
1.441883896,1.172176017,-0.269707879,Packed
1.368837507,1.076551572,-0.292285936,Packed
1.378316572,1.076896547,-0.301420025,Packed
1.396355532,1.177656312,-0.218699221,Packed
1.318504806,1.067205959,-0.251298847,Packed
1.411641757,1.119149839,-0.292491918,Packed
1.404328457,1.099630006,-0.304698451,Packed
1.371089764,1.079839583,-0.291250181,Packed
1.422485726,1.117639168,-0.304846558,Packed
1.255265564,1.051919026,-0.203346538,Packed
1.270919995,1.101708041,-0.169211955,Packed
2.584472775,2.226314095,-0.35815868,Packed
2.651042267,2.3058762,-0.345166066,Packed
2.614816579,2.241427752,-0.373388827,Packed
2.691146843,2.299549072,-0.39159777,Packed
2.634418239,2.282173387,-0.352244853,Packed
2.695646597,2.296427738,-0.399218859,Packed
2.723805338,2.305673506,-0.418131832,Packed
2.684976323,2.30491625,-0.380060073,Packed
2.628881906,2.277517852,-0.351364054,Packed
2.644785353,2.292107618,-0.352677736,Packed
2.566889393,2.175890448,-0.390998945,Packed
2.578025528,2.176173591,-0.401851937,Packed
